step_id,career_title,step_order,step_title,step_description,associated_skills,duration_weeks,resources
fs_1,Full-Stack Web Developer,1,Frontend Fundamentals,"Master HTML5, CSS3 layouts (Flexbox, Grid), and core JavaScript ES6+.","HTML, CSS, JavaScript, Responsive Design",4,freeCodeCamp Web Design|course|https://www.freecodecamp.org/learn/2022/responsive-web-design/;;JS Tutorial|youtube|https://www.youtube.com/watch?v=PkZNo7MFNFg
fs_2,Full-Stack Web Developer,2,Modern Frontend Framework,"Learn React, hooks, state management with Redux, and Tailwind CSS.","React, Tailwind CSS, TypeScript, Redux",6,React Complete Guide|course|https://www.udemy.com/course/react-the-complete-guide-incl-redux/;;React freeCodeCamp|youtube|https://www.youtube.com/watch?v=bMknfKXIFA8
fs_3,Full-Stack Web Developer,3,Backend & API Development,Build RESTful APIs with Node.js and Express. Authentication and middleware.,"Node.js, Express, REST APIs",5,Node.js Guide|course|https://www.udemy.com/course/nodejs-the-complete-guide/;;Node Crash Course|youtube|https://www.youtube.com/watch?v=fBNz5xF-Kx4
fs_4,Full-Stack Web Developer,4,Database Integration,Master MongoDB and PostgreSQL. Implement CRUD and connect frontend to backend.,"MongoDB, PostgreSQL, Git",4,MongoDB University|course|https://university.mongodb.com/;;MERN Tutorial|youtube|https://www.youtube.com/watch?v=O3BUHvf45SU
fs_5,Full-Stack Web Developer,5,Deployment & DevOps,"Docker containerization, CI/CD pipelines, and cloud deployment.","Docker, CI/CD, AWS",4,Docker Crash Course|youtube|https://www.youtube.com/watch?v=pg19Z8LL06w
ds_1,Data Scientist,1,Python & Mathematics,"Python programming, statistics, probability, and SQL fundamentals.","Python, Statistics, SQL",5,Python for Everybody|course|https://www.coursera.org/specializations/python;;SQL Course|youtube|https://www.youtube.com/watch?v=HXV3zeQKqGY
ds_2,Data Scientist,2,Data Manipulation,"Master Pandas, NumPy for data wrangling and exploratory analysis.","Pandas, NumPy, Data Analysis",5,Pandas Tutorial|youtube|https://www.youtube.com/watch?v=ZyhVh-qRZPA
ds_3,Data Scientist,3,Visualization,"Create visualizations with Matplotlib, Seaborn, Tableau.","Data Visualization, Matplotlib, Seaborn, Tableau",4,Tableau A-Z|course|https://www.udemy.com/course/tableau10/
ds_4,Data Scientist,4,Machine Learning,Supervised/unsupervised algorithms with Scikit-Learn.,"Machine Learning, Scikit-Learn, Feature Engineering",6,ML Specialization|course|https://www.coursera.org/specializations/machine-learning-introduction
ds_5,Data Scientist,5,Deep Learning & Deploy,Neural networks with TensorFlow. Deploy models via APIs.,"Deep Learning, TensorFlow, FastAPI",6,Deep Learning Specialization|course|https://www.coursera.org/specializations/deep-learning
be_1,Backend Engineer,1,Core Programming,"Master Python/Java. OOP, data structures, algorithms.","Python, Java",5,Python Bootcamp|course|https://www.udemy.com/course/complete-python-bootcamp/;;DSA Course|youtube|https://www.youtube.com/watch?v=8hly31xKli0
be_2,Backend Engineer,2,APIs & Databases,Build REST APIs with FastAPI. Master PostgreSQL and MongoDB.,"PostgreSQL, REST APIs, FastAPI, MongoDB",5,FastAPI Course|youtube|https://www.youtube.com/watch?v=0sOvCWFmrtA
be_3,Backend Engineer,3,System Architecture,"Microservices, caching with Redis, message queues, system design.","System Design, Microservices, Redis",6,System Design|course|https://bytebytego.com/
be_4,Backend Engineer,4,DevOps & Deployment,"Docker, Kubernetes, CI/CD, and monitoring.","Docker, Linux, Kubernetes, CI/CD",5,Docker Mastery|course|https://www.udemy.com/course/docker-mastery/;;K8s Tutorial|youtube|https://www.youtube.com/watch?v=X48VuDVv0do
fe_1,Frontend Engineer,1,HTML & CSS Mastery,"Semantic HTML5, CSS3, Flexbox, Grid, animations, responsive design.","HTML, CSS, Responsive Design",4,freeCodeCamp|course|https://www.freecodecamp.org/learn/2022/responsive-web-design/
fe_2,Frontend Engineer,2,JavaScript & TypeScript,Modern JavaScript ES6+ and TypeScript for type safety.,"JavaScript, TypeScript",5,JS Complete Course|course|https://www.udemy.com/course/the-complete-javascript-course/
fe_3,Frontend Engineer,3,React Ecosystem,"React, Redux, routing, and component architecture.","React, Redux, Tailwind CSS",6,Epic React|course|https://epicreact.dev/;;React Tutorial|youtube|https://www.youtube.com/watch?v=bMknfKXIFA8
fe_4,Frontend Engineer,4,Advanced Frontend,"Testing, performance optimization, accessibility, build tools.","Webpack, Unit Testing, Figma",4,Figma Tutorial|youtube|https://www.youtube.com/watch?v=jwCmIBJ8Jtc
do_1,DevOps Engineer,1,Linux & Scripting,"Linux admin, shell scripting, networking.","Linux, Python",4,Linux Course|youtube|https://www.youtube.com/watch?v=sWbUDq4S6Y8
do_2,DevOps Engineer,2,Containers,Docker and Kubernetes.,"Docker, Kubernetes",5,Docker Mastery|course|https://www.udemy.com/course/docker-mastery/;;K8s Tutorial|youtube|https://www.youtube.com/watch?v=X48VuDVv0do
do_3,DevOps Engineer,3,CI/CD Automation,"Jenkins, GitHub Actions, automated pipelines.","CI/CD, Jenkins, GitHub Actions",4,CI/CD Tutorial|youtube|https://www.youtube.com/watch?v=scEDHsr3APg
do_4,DevOps Engineer,4,Cloud & IaC,"AWS/Azure, Terraform, Ansible.","AWS, Terraform, Ansible, Cloud Computing",6,AWS Architect|course|https://www.udemy.com/course/aws-certified-solutions-architect-associate-saa-c03/;;Terraform|youtube|https://www.youtube.com/watch?v=SLB_c_ayRMo
ml_1,Machine Learning Engineer,1,Python & Math,"Python, NumPy, statistics, probability.","Python, NumPy, Pandas",4,Python Bootcamp|course|https://www.udemy.com/course/complete-python-bootcamp/
ml_2,Machine Learning Engineer,2,Classical ML,Supervised/unsupervised algorithms with Scikit-Learn.,"Machine Learning, Scikit-Learn",6,ML Specialization|course|https://www.coursera.org/specializations/machine-learning-introduction
ml_3,Machine Learning Engineer,3,Deep Learning,"CNNs, RNNs, Transformers with TensorFlow and PyTorch.","Deep Learning, TensorFlow, PyTorch",6,Deep Learning|course|https://www.coursera.org/specializations/deep-learning;;PyTorch|youtube|https://www.youtube.com/watch?v=V_xro1bcAuA
ml_4,Machine Learning Engineer,4,MLOps & Production,"Deploy models with FastAPI, Docker, cloud platforms.","Docker, AWS, FastAPI",5,Docker Crash Course|youtube|https://www.youtube.com/watch?v=pg19Z8LL06w
ca_1,Cloud Architect,1,Cloud Fundamentals,"IaaS, PaaS, SaaS and core AWS/Azure services.","AWS, Azure, Cloud Computing",5,AWS Practitioner|course|https://www.coursera.org/learn/aws-cloud-practitioner-essentials
ca_2,Cloud Architect,2,Infrastructure,"VPCs, subnets, load balancers, CDN.","System Design, Load Balancing",5,AWS Architect|course|https://www.udemy.com/course/aws-certified-solutions-architect-associate-saa-c03/
ca_3,Cloud Architect,3,Containers,"Docker, Kubernetes, serverless.","Docker, Kubernetes, Serverless",5,Docker Mastery|course|https://www.udemy.com/course/docker-mastery/
ca_4,Cloud Architect,4,IaC & Multi-Cloud,"Terraform, multi-cloud strategies.","Terraform, GCP, Microservices",6,Terraform|youtube|https://www.youtube.com/watch?v=SLB_c_ayRMo
cy_1,Cybersecurity Analyst,1,Security Foundations,"Network protocols, OS security, core concepts.","Cybersecurity, Network Security, Linux",4,Google Cybersecurity|course|https://www.coursera.org/professional-certificates/google-cybersecurity
cy_2,Cybersecurity Analyst,2,Ethical Hacking,"Penetration testing, vulnerability scanning.","Ethical Hacking, Penetration Testing, Python",6,Ethical Hacking|course|https://www.udemy.com/course/learn-ethical-hacking-from-scratch/
cy_3,Cybersecurity Analyst,3,Cryptography,"Encryption algorithms, PKI, OWASP Top 10.","Cryptography, OWASP",4,OWASP Top 10|youtube|https://www.youtube.com/watch?v=rWHvp7rUka8
cy_4,Cybersecurity Analyst,4,SOC & Response,"Security monitoring, SIEM, incident response.","Security Auditing, SOC Analysis",5,SOC Course|youtube|https://www.youtube.com/watch?v=tCp9YExT4jU
de_1,Data Engineer,1,Programming & SQL,Python and advanced SQL.,"Python, SQL, Data Engineering",4,Python Bootcamp|course|https://www.udemy.com/course/complete-python-bootcamp/;;SQL Bootcamp|course|https://www.udemy.com/course/the-complete-sql-bootcamp/
de_2,Data Engineer,2,Data Pipelines,"ETL/ELT with Airflow, data modeling.","ETL, Airflow, Data Warehousing, dbt",6,Data Engineering Zoomcamp|course|https://github.com/DataTalksClub/data-engineering-zoomcamp
de_3,Data Engineer,3,Big Data,"Spark, Kafka, Hadoop ecosystem.","Big Data, Spark, Kafka, Hadoop",6,Spark with PySpark|course|https://www.udemy.com/course/spark-and-python-for-big-data-with-pyspark/
de_4,Data Engineer,4,Cloud Stack,"AWS pipelines, Snowflake, Docker.","AWS, Docker, Snowflake",5,Snowflake Masterclass|course|https://www.udemy.com/course/snowflake-masterclass/
ux_1,UI/UX Designer,1,Design Fundamentals,"Design principles, color theory, typography.","UI/UX Design, Wireframing",4,Google UX Design|course|https://www.coursera.org/professional-certificates/google-ux-design
ux_2,UI/UX Designer,2,Figma Mastery,"Wireframing, prototyping, design systems.","Figma, Prototyping, Design Systems",5,Figma Tutorial|youtube|https://www.youtube.com/watch?v=jwCmIBJ8Jtc
ux_3,UI/UX Designer,3,User Research,"User interviews, usability testing, personas.",User Research,4,UX Research|course|https://www.coursera.org/learn/research-methods
ux_4,UI/UX Designer,4,Frontend Basics,HTML/CSS for developer communication.,"HTML, CSS, JavaScript",5,freeCodeCamp|course|https://www.freecodecamp.org/learn/2022/responsive-web-design/
ma_1,Mobile App Developer,1,Programming Basics,Dart/JavaScript and mobile concepts.,"JavaScript, Dart",4,JS Course|course|https://www.udemy.com/course/the-complete-javascript-course/
ma_2,Mobile App Developer,2,Cross-Platform,Flutter or React Native.,"Flutter, React Native",6,Flutter Guide|course|https://www.udemy.com/course/learn-flutter-dart-to-build-ios-android-apps/
ma_3,Mobile App Developer,3,Backend Integration,"REST APIs, Firebase, Git.","REST APIs, Firebase, Git",4,Firebase Course|youtube|https://www.youtube.com/watch?v=9zdvmgGsww0
ma_4,Mobile App Developer,4,Native Development,SwiftUI or Jetpack Compose.,"Android Development, iOS Development",6,iOS Bootcamp|course|https://www.udemy.com/course/ios-13-app-development-bootcamp/
ga_1,Generative AI Engineer,1,ML Foundation,"Python, ML fundamentals, neural networks.","Python, Machine Learning, Deep Learning",5,ML Specialization|course|https://www.coursera.org/specializations/machine-learning-introduction
ga_2,Generative AI Engineer,2,NLP & Transformers,"NLP, transformer architecture, attention.","Natural Language Processing, Hugging Face",5,NLP Specialization|course|https://www.coursera.org/specializations/natural-language-processing;;HF Course|course|https://huggingface.co/course/chapter1
ga_3,Generative AI Engineer,3,LLMs & Prompts,"LangChain, prompt engineering, RAG.","LangChain, Generative AI",5,LangChain|youtube|https://www.youtube.com/watch?v=LbT1yp6quS8;;GenAI|course|https://www.coursera.org/learn/generative-ai-with-llms
ga_4,Generative AI Engineer,4,AI Apps,Full-stack AI apps with React + FastAPI.,"React, FastAPI, Docker, REST APIs",5,FastAPI|youtube|https://www.youtube.com/watch?v=0sOvCWFmrtA
fai_1,Full-Stack AI Developer,1,Web Fundamentals,"HTML, CSS, JavaScript, React.","HTML, CSS, JavaScript, React",5,freeCodeCamp|course|https://www.freecodecamp.org/;;React Guide|course|https://www.udemy.com/course/react-the-complete-guide-incl-redux/
fai_2,Full-Stack AI Developer,2,Backend & APIs,"Node.js/FastAPI, databases, REST APIs.","Node.js, FastAPI, MongoDB, REST APIs",5,Node.js Guide|course|https://www.udemy.com/course/nodejs-the-complete-guide/;;FastAPI|youtube|https://www.youtube.com/watch?v=0sOvCWFmrtA
fai_3,Full-Stack AI Developer,3,ML Integration,ML fundamentals and model integration.,"Python, Machine Learning, Scikit-Learn, TensorFlow",6,ML Specialization|course|https://www.coursera.org/specializations/machine-learning-introduction
fai_4,Full-Stack AI Developer,4,Deploy & Scale,"Docker, CI/CD, cloud deployment.","Docker, AWS, Git, CI/CD",4,Docker|youtube|https://www.youtube.com/watch?v=pg19Z8LL06w
da_1,Data Analyst,1,Excel & SQL,Excel for data and SQL for querying.,"Excel, SQL, Data Analysis",4,Excel Skills|course|https://www.coursera.org/specializations/excel;;SQL Course|youtube|https://www.youtube.com/watch?v=HXV3zeQKqGY
da_2,Data Analyst,2,Python Analysis,Python with Pandas for data manipulation.,"Python, Pandas, NumPy",4,Google Data Analytics|course|https://www.coursera.org/professional-certificates/google-data-analytics
da_3,Data Analyst,3,Visualization Tools,Tableau and Power BI for dashboards.,"Tableau, Power BI, Data Visualization",4,Tableau A-Z|course|https://www.udemy.com/course/tableau10/
da_4,Data Analyst,4,Statistics & Insights,Statistical methods and data storytelling.,"Statistics, Communication, A/B Testing",4,Statistics|course|https://www.khanacademy.org/math/statistics-probability
